NomPar;campagne;x;y;station_meteo
45_pc_2018;2018;-0.49493861;46.17301271;7907
48_pc_2018;2018;-0.43156292;46.23120482;7957
49_pc_2018;2018;-0.39588877;46.21941356;7957
91_Gers_2019;2019;0.591461705;43.93290259;3254
68_PC_2019;2019;-0.45887844;46.43606724;7977
64_PC_2019;2019;-0.99754408;46.17403402;1751
130_Gers_2019;2019;0.95371587;43.56148295;3225
57_PC_2019;2019;-0.47266098;46.42278991;7977
36_PC_2019;2019;-1.04271463;46.19317823;1751
129_Gers_2019;2019;0.92588338;43.58491838;3225
121_Gers_2019;2019;0.940269104;43.57320394;3225
76_PC_2019;2019;-0.52165499;46.10023858;1758
99_PC_2019;2019;-0.77047001;46.23782505;7907
18_PC_2019;2019;-0.77876822;46.13357343;1788
133_Gers_2019;2019;0.752801081;43.74394978;3252
14_PC_2019;2019;-0.54396182;46.22571345;7907
69_PC_2019;2019;-0.55536816;46.08924822;1788
95_Gers_2019;2019;0.445870142;43.94532847;3254
20_PC_2019;2019;-1.00311873;46.17698348;1751
31_Gers_2019;2019;0.640896545;43.74366734;3252
38_PC_2019;2019;-1.02778426;46.18210237;1751
119_Gers_2019;2019;0.937245466;43.57293581;3225
101_Gers_2019;2019;0.664349318;43.74616424;3252
74_PC_2019;2019;-0.50127125;46.15250449;1788
33_Gers_2019;2019;0.900885834;43.60399696;3281
86_Gers_2019;2019;0.511016054;43.96616827;3254
56_PC_2019;2019;-0.70507933;46.25320679;7907
47_PC_2019;2019;-1.04079344;46.17618281;1751
50_PC_2019;2019;-0.91792033;46.10228438;1762
12_PC_2019;2019;-0.54059899;46.22478181;7907
70_PC_2019;2019;-0.55451341;46.09253582;1788
78_PC_2019;2019;-0.58800775;46.17899511;7907
110_Gers_2019;2019;0.394136198;43.63027465;3268
55_PC_2019;2019;-0.70530294;46.25331403;7907
73_PC_2019;2019;-0.50619697;46.15048282;1788
82_PC_2019;2019;-0.60711582;46.17883233;7907
19_PC_2019;2019;-0.76705466;46.1336822;1788
132_Gers_2019;2019;0.703642985;43.75684914;3252
60_PC_2019;2019;-0.4645215;46.42083277;7977
103_Gers_2019;2019;0.663045503;43.74774738;3252
23_Gers_2019;2019;0.725513588;43.74937138;3252
98_PC_2019;2019;-0.77224801;46.22947213;7907
122_Gers_2019;2019;1.006454828;43.51185397;3225
90_Gers_2019;2019;0.563691119;43.93035818;3254
48_PC_2019;2019;-1.04347302;46.17675844;1751
75_PC_2019;2019;-0.50029351;46.13274374;1788
107_Gers_2019;2019;0.467568208;43.97801206;3254
108_Gers_2019;2019;0.417162459;43.9715976;3254
77_PC_2019;2019;-0.53147601;46.11477994;1788
54_PC_2019;2019;-0.84714053;46.14399072;1788
37_PC_2019;2019;-1.03958416;46.18947386;1751
49_PC_2019;2019;-0.91766076;46.10244794;1762
115_Gers_2019;2019;0.331310732;43.7349326;3276
65_PC_2019;2019;-1.03825357;46.17551252;1751
113_Gers_2019;2019;0.357618257;43.67939126;3205
67_PC_2019;2019;-0.45914346;46.43521737;7977
128_Gers_2019;2019;0.904877602;43.60434948;3281
41_PC_2019;2019;-0.78493497;46.13409725;1788
127_Gers_2019;2019;0.991142149;43.53478901;3225
109_Gers_2019;2019;0.3479203;43.6392531;3205
120_Gers_2019;2019;0.933749363;43.57608162;3225
112_Gers_2019;2019;0.366335018;43.6760403;3205
93_Gers_2019;2019;0.462884316;43.9461667;3254
135_Gers_2019;2019;0.778880651;43.74055474;3281
118_Gers_2019;2019;0.934785795;43.57414075;3225
30_Gers_2019;2019;0.638257363;43.7419613;3252
81_PC_2019;2019;-0.59875756;46.17568806;1788
83_PC_2019;2019;-0.60757816;46.178469;7907
131_Gers_2019;2019;0.971803924;43.55471512;3225
35_Gers_2019;2019;0.976873404;43.54535554;3225
105_Gers_2019;2019;0.478607258;43.97792942;3254
111_Gers_2019;2019;0.393223241;43.64057764;3268
88_Gers_2019;2019;0.557538969;43.93232776;3254
104_Gers_2019;2019;0.674883775;43.74595524;3252
117_Gers_2019;2019;0.924628976;43.58409119;3225
