parcelle;date;NDVI_moy
7322;13/08/2022;3367
7422;10/04/2022;2106
7422;10/05/2022;1946
7422;28/05/2022;3282
7422;14/06/2022;5954
7422;17/06/2022;6897
7422;19/06/2022;6589
7422;27/06/2022;8162
7422;02/07/2022;8267
7422;12/07/2022;4830
7422;14/07/2022;4617
7422;17/07/2022;5147
7422;24/07/2022;6741
7422;03/08/2022;5134
7422;06/08/2022;5128
7422;08/08/2022;4418
7422;11/08/2022;3560
7422;13/08/2022;3042
7522;10/04/2022;2150
7522;10/05/2022;1708
7522;30/05/2022;4465
7522;14/06/2022;7055
7522;17/06/2022;8015
7522;19/06/2022;7293
7522;27/06/2022;8778
7522;02/07/2022;8717
7522;12/07/2022;5156
7522;14/07/2022;4106
7522;17/07/2022;5689
7522;24/07/2022;6476
7522;03/08/2022;4349
7522;06/08/2022;4616
7522;08/08/2022;3864
7522;11/08/2022;3156
7522;13/08/2022;2737
7522;28/08/2022;2207
7622;10/04/2022;1999
7622;10/05/2022;3731
7622;14/06/2022;6791
7622;17/06/2022;7819
7622;19/06/2022;7132
7622;02/07/2022;7073
7622;12/07/2022;6546
7622;14/07/2022;5375
7622;17/07/2022;5380
7622;24/07/2022;6060
7622;03/08/2022;4564
7622;06/08/2022;4408
7622;08/08/2022;3610
7622;11/08/2022;3116
7622;13/08/2022;2588
7622;28/08/2022;1838
7822;10/04/2022;3109
7822;10/05/2022;4143
7822;30/05/2022;3895
7822;14/06/2022;6461
7822;19/06/2022;6089
7822;14/07/2022;6214
7822;24/07/2022;7199
7822;03/08/2022;6153
7822;08/08/2022;5666
7822;13/08/2022;5052
7822;28/08/2022;3150
8022;10/04/2022;4334
8022;10/05/2022;5214
8022;30/05/2022;5086
8022;14/06/2022;4013
8022;19/06/2022;2792
8022;14/07/2022;2837
8022;24/07/2022;2877
8022;03/08/2022;3114
8022;08/08/2022;2015
8022;13/08/2022;1857
8022;28/08/2022;1675
8222;10/04/2022;2705
8222;10/05/2022;3495
8222;14/06/2022;6586
8222;19/06/2022;7053
8222;14/07/2022;7518
8222;24/07/2022;7684
8222;03/08/2022;6686
8222;08/08/2022;5671
8222;13/08/2022;4519
8822;10/04/2022;2107
8822;10/05/2022;2841
8822;30/05/2022;5074
8822;14/06/2022;7459
8822;19/06/2022;7883
8822;14/07/2022;7529
8822;24/07/2022;7345
8822;03/08/2022;5474
8822;08/08/2022;3917
8822;13/08/2022;3034
Aubiet11;05/04/2022;1616
Aubiet11;10/04/2022;1765
Aubiet11;25/04/2022;2428
Aubiet11;30/04/2022;1998
Aubiet11;10/05/2022;1692
Aubiet11;30/05/2022;2802
Aubiet11;14/06/2022;4597
Aubiet11;19/06/2022;4809
Aubiet11;14/07/2022;6637
Aubiet11;24/07/2022;5372
Aubiet11;03/08/2022;4248
Aubiet11;08/08/2022;3294
Aubiet11;13/08/2022;2631
Aubiet11;18/08/2022;3047
Aubiet11;23/08/2022;2481
Aubiet11;28/08/2022;2271
Aubiet22;05/04/2022;1882
Aubiet22;10/04/2022;1962
Aubiet22;25/04/2022;2268
Aubiet22;30/04/2022;1674
Aubiet22;10/05/2022;1746
Aubiet22;30/05/2022;2535
Aubiet22;14/06/2022;4060
Aubiet22;19/06/2022;4145
Aubiet22;14/07/2022;6628
Aubiet22;24/07/2022;5663
Aubiet22;03/08/2022;5399
Aubiet22;08/08/2022;4749
Aubiet22;13/08/2022;3732
Aubiet22;18/08/2022;4703
Aubiet22;23/08/2022;4136
Aubiet22;28/08/2022;3631
COULONGES2;23/04/2022;2964
COULONGES2;28/04/2022;3720
