Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2022;-0.4;9.5;0.2;0.2;548.1730184
02/02/2022;7.5;10.3;0.2;0.5;305.4700872
03/02/2022;2.3;8.5;0;0.1;305.274785
04/02/2022;6.1;12.3;1.4;0.4;309.2659868
05/02/2022;5.6;11.5;0;1.4;880.9378567
06/02/2022;-2.6;10.7;0;0.4;514.1372726
07/02/2022;9;13.8;1.2;1.6;575.8954604
08/02/2022;-0.6;14.2;0;1;1089.8917
09/02/2022;-0.3;16.3;0;1.2;1074.185574
10/02/2022;2.1;16.1;0;0.9;976.0538365
11/02/2022;8.2;13.8;0.2;1.7;814.6025371
12/02/2022;-2.4;12.8;0;1;912.186308
13/02/2022;2.9;17.6;1;1.5;977.2353459
14/02/2022;8;11.5;7.2;1.2;604.574129
15/02/2022;4.5;10.8;5.2;0.6;506.8700907
16/02/2022;8.9;15.6;1.6;1.4;624.3359763
17/02/2022;11.9;15.3;0.8;1.2;501.173668
18/02/2022;5.6;18.3;0;1.5;816.1566273
19/02/2022;7.4;13;0;1.8;1049.776592
20/02/2022;1.4;14.2;1.6;0.5;496.9688906
21/02/2022;9.9;14;0.2;2.4;717.8783431
22/02/2022;8;16.2;0;2.1;1151.21231
23/02/2022;2.8;16.6;0;1.3;1282.643802
24/02/2022;3.8;16;0.2;1.2;684.8114978
25/02/2022;2;12.3;0;1.7;1279.701088
26/02/2022;-2.5;14.5;0;1.9;1444.128726
27/02/2022;-0.1;15.2;0;1.6;1000.604196
28/02/2022;2;18.6;0;1.7;1365.488329
01/03/2022;-0.1;17.8;0;1.7;1458.230291
02/03/2022;5.2;13.6;0;1.1;472.4714479
03/03/2022;4.3;16.3;0;1.4;1073.581631
04/03/2022;7.8;10.1;1.8;0.4;483.9851282
05/03/2022;7.2;11;0.2;1.6;747.4304126
06/03/2022;6.2;13.3;0;2.3;1307.261974
07/03/2022;-3.5;11.5;0;1;1602.928294
08/03/2022;1.3;13.7;0.2;1.2;838.5047401
09/03/2022;2.3;16.8;0;1.8;1432.10427
10/03/2022;8.5;15.3;0.8;1.7;807.5467698
11/03/2022;8.1;15.6;6;1.6;577.1808055
12/03/2022;7.5;12.9;2.2;1.4;734.7648807
13/03/2022;6.7;12.1;7.2;1.2;772.8721154
14/03/2022;2.4;15.6;0;1.3;706.4084714
15/03/2022;13;18.4;0;3.8;1261.490776
16/03/2022;10.1;17.6;1.2;2;756.8662924
17/03/2022;11.7;14.7;0;1.8;577.1799339
18/03/2022;7.6;14.4;0;1.9;943.7206751
19/03/2022;5.1;17.8;0;2.9;1655.983791
20/03/2022;6.1;17.8;0;2.7;1077.949188
21/03/2022;9.3;18.6;0;4.2;1728.693965
22/03/2022;6.9;17.9;0;4.5;1699.269815
23/03/2022;4;18;0;3.5;1910.581639
24/03/2022;0.9;18.6;0;2.6;1935.374453
25/03/2022;1.6;19.8;0;3.2;1618.047364
26/03/2022;2.2;20.8;0;3.8;1942.334819
27/03/2022;2.8;22.3;0;3.8;1841.095222
28/03/2022;3.3;22.4;0;3.3;1560.300752
29/03/2022;5.2;17.8;2.2;1.8;902.392257
30/03/2022;9.9;15.5;1.6;1.8;798.3777062
31/03/2022;9.2;14.8;3;3;1449.715685
01/04/2022;0.8;10;0;2.6;1590.434322
02/04/2022;2.4;10.3;0;3.1;1437.416611
03/04/2022;-3.2;8.2;0;1.4;1118.938073
04/04/2022;-2;12.4;0;2.1;1938.615307
05/04/2022;-2.9;16.4;0;2.2;2193.962312
06/04/2022;8.1;13.4;0.2;1.1;674.0775168
07/04/2022;10.1;19;4.2;3.1;1210.501142
08/04/2022;10.6;20.4;0.8;3.6;1128.814544
