Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2022;0.2;9.2;2;0.3;253.508666
02/02/2022;8.2;10.3;0;0.7;257.3960339
03/02/2022;5.2;9.4;0.2;0.9;483.5770935
04/02/2022;4.8;9.3;0.6;0.7;265.4044451
05/02/2022;-1;9.5;0;0.7;634.7755602
06/02/2022;3.1;10.8;6.2;0.6;273.7155712
07/02/2022;3.2;9.5;0;1.3;840.8160555
08/02/2022;0.3;12.1;0.2;1;818.0736845
09/02/2022;-0.1;15.6;0;1.4;913.7259277
10/02/2022;4.2;9.1;1.2;0.8;291.380943
11/02/2022;-0.4;7.7;0;0.6;870.8217144
12/02/2022;-2.7;6.8;0;0.7;838.2677195
13/02/2022;-1.2;13.8;0;1.4;866.1596827
14/02/2022;7.7;10.8;3.2;1.7;461.8686941
15/02/2022;4.8;9.7;3.8;1.1;664.0152678
16/02/2022;7.6;13.5;1.6;0.5;319.3981359
17/02/2022;10;13.9;0;2.1;716.0286255
18/02/2022;8.4;13.8;1;1.8;329.269298
19/02/2022;2.5;9.7;0;1.6;982.6846403
20/02/2022;6.4;12.3;4;1.3;462.4130134
21/02/2022;5.7;10;0.8;2;556.53403
22/02/2022;4.8;10.1;0.4;0.7;379.4960621
23/02/2022;3.7;12.8;0.2;1;621.4511111
24/02/2022;6.8;13;1.2;2.1;679.2190393
25/02/2022;-0.4;10.1;0;1.2;993.0523765
26/02/2022;-3.2;10.3;0;1.3;1274.058645
27/02/2022;-3;11.6;0;1.6;1266.848266
28/02/2022;-4.9;13.4;0;1.3;1296.083527
01/03/2022;-3.2;12.8;0;1.4;886.4542445
02/03/2022;1.2;14.1;0;1.6;914.0921341
03/03/2022;7.4;14;0;1.4;658.0759667
04/03/2022;6.7;14.3;0;2.5;1267.276568
05/03/2022;-3.6;11.5;0;1.6;1455.679769
06/03/2022;-4.7;7.8;0;1.5;1477.083365
07/03/2022;-3.1;8.8;0;1.8;1479.480766
08/03/2022;-5.3;14.8;0;1.6;1496.430852
09/03/2022;-1.2;15.7;0;1.9;1496.233461
10/03/2022;1;16.4;0;2;1499.77212
11/03/2022;6.4;15.9;1;2.8;813.5098795
12/03/2022;6.1;8.9;4;1;539.3899882
13/03/2022;6.2;10.6;3.8;1.4;496.1652759
14/03/2022;2.4;15.3;2;2;1609.890223
15/03/2022;9.2;15.2;0.6;1.7;682.6159961
16/03/2022;7.3;15.2;0;1.4;586.7962464
17/03/2022;8.7;10;0;1.9;642.8965617
18/03/2022;4.8;13.7;0;2.9;1203.046217
19/03/2022;5.2;16.1;0;3;1640.099849
20/03/2022;3.6;14.3;1.8;1.8;1015.175639
21/03/2022;7.4;18.5;0;3.4;1655.856867
22/03/2022;4.3;17.8;0;3.5;1742.364751
23/03/2022;0.7;18.8;0;2.7;1778.084979
24/03/2022;-0.1;20.7;0;2.5;1794.009727
25/03/2022;0.8;20;0;2.9;1819.650745
26/03/2022;3.8;20;0;3.5;1815.398519
27/03/2022;3;21.3;0;3;1859.728743
28/03/2022;2.7;22.7;0;2.9;1729.505937
29/03/2022;7.1;18.7;5.8;2.9;1121.116689
30/03/2022;6.8;13.6;1;1;612.7791891
31/03/2022;4.2;10.2;0.6;1.5;809.1562063
01/04/2022;0.4;4.3;5.2;1;614.1002689
02/04/2022;1.2;3.8;1.2;1.4;620.1537937
03/04/2022;-1.9;6.8;0;1.7;1272.097195
04/04/2022;-4.6;11.7;0;2.3;2033.503286
05/04/2022;6;10.1;0.4;0.9;638.1405161
06/04/2022;6.4;12.4;0.2;1.2;730.6157476
07/04/2022;9.4;15.4;11.3;1.9;708.1942346
08/04/2022;8.8;15;9.7;2.4;1028.219142
09/04/2022;2.8;11;0.6;2.1;1508.893757
10/04/2022;-1;13.8;0;2.4;2149.900998
11/04/2022;1.5;19.8;0;2.7;1874.500953
12/04/2022;8.2;21.7;0;3.7;1627.483201
13/04/2022;7.9;17.9;0;1.9;1093.90506
14/04/2022;8.8;20.5;0;3;1786.065213
15/04/2022;5.1;20.8;0;2.8;2227.031669
16/04/2022;6.5;19;0;3.7;2369.135493
17/04/2022;4;22.2;0;4.6;2420.963932
18/04/2022;2.5;19.8;0;3.4;2072.589275
19/04/2022;3.9;19.4;0;3;2091.389428
20/04/2022;4.6;19.2;0;3.4;2098.18665
21/04/2022;3.2;19.1;0;3.1;2044.244979
22/04/2022;3.5;20;0.2;3;2264.328432
23/04/2022;6.5;19;3;2.5;1240.007402
24/04/2022;10.5;17.3;0;2.5;1237.649627
25/04/2022;10.7;16.3;0.6;2.6;1269.779269
26/04/2022;2.6;16.1;0.2;2.6;2233.593236
27/04/2022;3;19.3;0;3.1;2422.241099
28/04/2022;7.1;22;0;4.4;2333.294156
29/04/2022;5.5;19.8;0.2;2.6;1395.963568
30/04/2022;5.1;16.8;0;3;2079.485865
01/05/2022;1.8;18.5;0;3.2;2464.037601
02/05/2022;2.7;18.9;0;2.7;1982.756261
03/05/2022;6.2;21.5;0;3.6;2299.02841
04/05/2022;9.4;15.4;2.2;1.9;936.8444006
05/05/2022;7.9;17.9;0.2;2.8;1674.677764
06/05/2022;6;21.4;0;3.5;2373.977851
07/05/2022;7;22;0;3.4;1855.518458
08/05/2022;7.1;23.1;0.2;3.7;2441.898771
09/05/2022;7.5;26.3;0;4;2353.384834
10/05/2022;8.6;27.3;0;4.6;2386.170521
11/05/2022;12.1;28.2;0;6;2622.572824
12/05/2022;12.4;21.7;0;3.2;1660.382875
13/05/2022;13.1;23.1;0;5.6;2720.05052
14/05/2022;5.8;24.8;0;4;2576.538426
15/05/2022;8.3;30.6;5.2;4.9;2366.823939
16/05/2022;14.1;25.7;0.4;4.6;2133.363878
17/05/2022;11.9;30.2;0;5.2;2586.278816
18/05/2022;16.5;30.7;0;5.5;2375.305069
19/05/2022;18.1;30.3;0;6.6;2549.664782
20/05/2022;16.1;29.8;0.8;5.8;1826.821113
21/05/2022;7.9;26.2;0;4.8;2837.480941
22/05/2022;12.8;28.1;3.6;5.3;2041.521728
23/05/2022;16.4;23.1;8.8;3.6;1376.293666
24/05/2022;11.1;18.9;5.5;3.6;2010.939794
25/05/2022;7;21;0;3.7;2400.764671
26/05/2022;13.9;21.6;0;4;1650.300557
27/05/2022;11.9;19.4;0.2;2.7;1330.875926
28/05/2022;8.2;20.4;0;4.5;2662.111227
29/05/2022;7.8;17.8;0;4.7;2641.44962
30/05/2022;4.2;20.8;0;4.4;2990.316494
31/05/2022;6.6;23.7;0;5.2;2899.992643
01/06/2022;5.9;24.2;0;4.4;2552.387946
