Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2018;2.8;9.8;0;1;643.390803
02/02/2018;-2.2;8.6;0;0.6;703.612786
03/02/2018;1.4;7.9;3;0.6;307.9393569
04/02/2018;-0.2;5.7;0;0.5;283.5502097
05/02/2018;-0.6;3.3;0;1.3;860.6851312
06/02/2018;-0.6;0.9;6.6;0.4;345.2211357
07/02/2018;-2.9;1.8;0;0.5;377.9598815
08/02/2018;-0.7;5.5;0;0.8;868.3392022
09/02/2018;-2.5;7.1;3;0.7;365.6859435
10/02/2018;-4.7;8.7;1.6;0.4;882.9780744
11/02/2018;5.7;11.5;1;1.5;738.6098206
12/02/2018;-3.1;9.2;0;0.9;1015.819586
13/02/2018;-0.9;7.7;3.6;0.9;343.4587685
14/02/2018;-2.4;11.8;14.2;0.3;327.6018485
15/02/2018;6.7;13.7;0.4;0.1;332.3493983
16/02/2018;7.8;11.6;8.9;1.5;595.2297091
17/02/2018;6;11.2;2.4;1.2;684.0300253
18/02/2018;-0.1;8.3;2;0.2;403.5506966
19/02/2018;4.1;10.1;1.2;0.5;444.6204829
20/02/2018;8.7;12.7;0;1.6;431.2255631
21/02/2018;2.3;7.2;0;1.5;1054.678539
22/02/2018;-0.8;6.7;0;1.6;1167.305179
23/02/2018;-1.9;5.1;0;1.6;1066.944976
24/02/2018;-1.6;7.1;0;1.4;1142.456913
25/02/2018;-1.1;5.9;0;2;1251.258027
26/02/2018;-3.6;2.6;0;2.5;1296.380696
27/02/2018;-6.2;0.5;0;1.7;1301.170777
28/02/2018;-7.2;0.7;3;1.3;714.4688377
01/03/2018;-3.2;12.4;3.6;0.7;605.9145839
02/03/2018;6.7;11.4;2.4;3;1213.09216
03/03/2018;4.5;14.2;6.5;2.1;1122.142393
04/03/2018;6.9;12.6;7.4;1.5;763.7252665
05/03/2018;4;13.3;0;1.5;843.5964712
06/03/2018;2.9;10.8;10.7;0.8;687.3201639
07/03/2018;3.7;12.5;0.8;1.8;1269.0718
08/03/2018;2;15;0;1.9;1366.944045
