Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2019;5.1;9.2;7;0.44;322.541478
02/02/2019;2.3;7.8;0;0.81;621.5624738
03/02/2019;-0.2;8;0;0.37;934.76013
04/02/2019;-1.1;5.3;5.5;0.06;287.4899003
05/02/2019;3.5;10.6;0;0.18;360.6938852
06/02/2019;9;12;1;0.33;295.7523665
07/02/2019;7.5;11.9;0.5;0.52;720.5727445
08/02/2019;6.6;12.2;2;0.6;478.653775
09/02/2019;8.6;12.9;2;0.7;541.2869538
10/02/2019;7.8;11.8;5;0.96;705.6837692
11/02/2019;6.6;11.9;0;0.71;808.412634
12/02/2019;-0.1;12.4;0;0.42;1023.544653
13/02/2019;1.1;11.7;0;0.7;1095.824993
14/02/2019;1.5;16.3;0;0.69;1076.655372
15/02/2019;2.3;17.3;0.5;0.73;1101.110901
16/02/2019;1.8;17.7;0;0.74;1075.237584
17/02/2019;5.2;16.6;0;1.13;1075.616342
18/02/2019;3.9;13.8;0.5;0.67;873.1921569
19/02/2019;7.6;12.6;0.5;0.69;577.1550805
20/02/2019;4.1;12.4;0;0.68;821.8799957
21/02/2019;3.3;18.5;0;1.03;1072.312368
22/02/2019;3.8;20.2;0;1.39;1188.727198
23/02/2019;7.4;19;0;1.62;1211.891237
24/02/2019;4.7;13.6;0.5;1.11;1196.05524
25/02/2019;3;18.5;0;1.19;1227.757537
26/02/2019;4.2;21;0;1.3;1263.730431
27/02/2019;3.5;23.5;0;1.56;1288.720673
28/02/2019;9;14.9;0;1.43;834.8033581
01/03/2019;7.4;13.4;1.5;1.09;1063.214038
02/03/2019;9;14.5;0;1.37;1324.109299
03/03/2019;10.4;17.5;0.5;2.07;1235.559864
04/03/2019;8.7;13.6;1;2.37;1118.971383
05/03/2019;8.5;15.1;0;1.8;1283.12319
06/03/2019;8.2;13.7;13;0.98;474.5708003
07/03/2019;8.1;12.9;8.5;1.63;1143.410853
08/03/2019;3.8;13.5;3.5;1.25;1341.268815
09/03/2019;10.2;14.1;1.5;0.65;513.8233045
10/03/2019;10.9;14.3;1;2.21;1407.995205
11/03/2019;8.2;12.4;0;2.03;1684.840353
12/03/2019;2;14.1;2;1.37;1107.469713
13/03/2019;7.1;11.9;2;2.01;1403.789969
14/03/2019;8.4;13.3;1.5;1.63;1035.425421
15/03/2019;10.7;13.9;0.5;1.36;711.1511281
16/03/2019;9.1;14.2;2.5;1.95;1459.463597
17/03/2019;8.1;11.8;1;2.38;1684.814837
18/03/2019;6.3;12.9;1;1.85;1310.375954
19/03/2019;4.2;12.2;0;1.49;1279.410814
20/03/2019;1.7;14.9;0.5;1.85;1667.222398
21/03/2019;4.2;16.7;0;2.6;1918.48242
22/03/2019;1.5;18.4;0;2.24;1971.772428
23/03/2019;2.8;22.1;0;2.53;1956.565321
24/03/2019;5;16.7;0;2.46;1850.756735
25/03/2019;2.3;14.3;0;2.33;1750.544064
26/03/2019;0.4;14.5;0;2.58;2082.024799
27/03/2019;1.8;14.9;0;2.63;2022.997417
28/03/2019;3;16.4;0;2.73;2029.116851
29/03/2019;4.7;19.9;0;2.93;2097.028001
30/03/2019;5.9;19.4;0;2.85;2041.344188
31/03/2019;6.3;20.9;0;3.51;2012.240784
01/04/2019;7.1;17.6;0;2.49;1663.208696
02/04/2019;8;14.8;4;2.03;1217.079162
03/04/2019;5;10.9;4.5;2.22;1641.984976
04/04/2019;1.4;12.4;5;2.12;1851.499512
05/04/2019;7.6;15.1;0;2.08;1169.914924
06/04/2019;6;9.4;7.5;0.52;659.4706378
07/04/2019;3.4;15.3;0;2.54;2236.58975
08/04/2019;4.1;14.8;1;1.83;1494.863346
09/04/2019;3.9;16.6;0;2.7;2213.858762
10/04/2019;3.3;15.7;0;2.68;2278.018986
11/04/2019;6.6;16.7;0.5;3;1915.881169
12/04/2019;2.4;16.3;0;3.11;2381.59608
13/04/2019;2.5;14.5;0;3.18;2337.382921
14/04/2019;4.8;14;0;3.4;1930.118678
15/04/2019;4.1;18.9;10;2.65;1201.33806
16/04/2019;10.6;15.5;0;3.08;2086.473165
17/04/2019;8.3;20.1;0;2.75;1508.731257
18/04/2019;11.5;21;0;2.89;1475.241877
19/04/2019;9.2;26;0;4.12;2328.335931
