Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2019;4.6;9.1;1.8;0.68;350.6012891
02/02/2019;0.9;8.4;0;1.18;621.237445
03/02/2019;-1.7;8.5;0;0.98;948.2419043
04/02/2019;-2.1;4.4;5.6;0.19;284.5754608
05/02/2019;2.8;9.7;0;0.22;358.2618511
06/02/2019;8.8;12.4;1;0.51;314.8458745
07/02/2019;7.7;12.2;0;1;786.8928412
08/02/2019;7.1;12.2;1.6;1.2;451.7574595
09/02/2019;6.4;13.3;3.4;1.1;603.7211246
10/02/2019;8;11.5;6.7;1.53;681.9668251
11/02/2019;3.3;12.4;0;1.01;765.5481646
12/02/2019;-1.3;13.1;0.2;0.82;1031.716941
13/02/2019;-0.9;12.5;0;1.24;1100.804867
14/02/2019;-1.6;16.1;0;1.04;1085.538707
15/02/2019;-0.4;16.9;0;0.99;1109.286654
16/02/2019;0.1;18.7;0.2;1.21;1086.608679
17/02/2019;3.7;18;0;2.22;1091.245243
18/02/2019;1.7;16.4;0.4;1.25;965.4203303
19/02/2019;7.6;12.6;0.2;0.84;512.6854947
20/02/2019;1.2;15.7;0.2;0.86;871.9287389
21/02/2019;2.4;18.7;0;1.13;1096.467352
22/02/2019;0.5;20.4;0;1.87;1193.022139
23/02/2019;4.9;19.6;0;2.11;1238.176485
24/02/2019;3;13.7;0.2;1.22;1212.416175
25/02/2019;-0.4;18.7;0.2;1.5;1233.126845
26/02/2019;1.2;21.3;0.2;1.62;1283.644986
27/02/2019;0.8;24.3;0.2;1.93;1299.771553
28/02/2019;7.3;15.5;0.2;1.35;728.81629
01/03/2019;6.6;14.3;3.8;1.49;918.9354355
02/03/2019;8.8;15.2;0.2;1.87;1187.66363
03/03/2019;9.9;18.6;0.8;2.78;1117.055404
04/03/2019;9.1;13.2;1.4;2.66;1118.961529
05/03/2019;6;15.9;0.4;2.03;1139.566246
06/03/2019;9.4;13.4;21.6;1.6;471.7317179
07/03/2019;7.1;12.8;4.4;1.83;1017.42315
08/03/2019;2.9;14.1;5.6;1.61;1327.439293
09/03/2019;10.2;13.7;4;0.62;489.7801054
10/03/2019;10.4;14.9;0.6;2.56;1249.081061
11/03/2019;4.6;13.9;0;2.18;1625.015135
12/03/2019;1.4;14.5;3;1.82;1116.484621
13/03/2019;5.7;12.7;0.6;2.35;1477.509599
14/03/2019;7.6;13;0.2;1.43;870.5184434
15/03/2019;10.5;13.8;0.8;1.43;610.2186388
