Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2022;-0.1;7.6;3.2;0;256.0834662
02/02/2022;6.1;8.6;0.6;0.29;259.9698151
03/02/2022;4;7.8;0.6;0.9;532.6038948
04/02/2022;3.3;7;2;0.38;267.97523
05/02/2022;0.2;7.3;0;0.44;620.9078022
06/02/2022;1.1;8.8;4.8;0.22;276.2820043
07/02/2022;1.9;7.7;0;0.94;837.2145863
08/02/2022;1;11.2;0;0.92;861.1154034
09/02/2022;1.7;14.9;0;1.54;967.3767999
10/02/2022;3.3;7;1.8;0.78;365.4695667
11/02/2022;-0.1;6.3;0;0.62;837.8846693
12/02/2022;-2;5.4;0;0.62;801.4375511
13/02/2022;0.1;12.9;0.6;1.37;920.5098156
14/02/2022;5.2;9.1;2.2;1.47;433.1276261
15/02/2022;3.4;7.9;7.1;0.92;579.0914062
16/02/2022;6.2;11.5;6.8;0.16;321.9196836
17/02/2022;9.3;11.9;0.6;1.7;665.3835581
18/02/2022;6;11.8;1.6;1.71;353.6477708
19/02/2022;0.2;7.6;0.2;1.3;993.2091597
20/02/2022;4.4;9.6;6.2;0.77;409.9628892
21/02/2022;4.1;7.8;0.2;1.2;470.4963156
22/02/2022;3.9;8.1;2.2;0.3;356.375307
23/02/2022;5.3;11.1;0;1.03;670.12951
24/02/2022;5.2;11;2.2;2.12;731.0855672
25/02/2022;-1;7.7;0;0.94;1012.404714
26/02/2022;-0.9;8.4;0;1.24;1297.320074
27/02/2022;-1.6;10.7;0;1.56;1299.658129
28/02/2022;-0.5;12.7;0;1.27;1282.903768
01/03/2022;2.6;11.3;0;1.3;998.9730083
02/03/2022;3;13.3;0;1.35;874.9110009
03/03/2022;6.5;11.7;0;1.38;634.1536552
04/03/2022;6.5;12.9;0;2.19;1258.672239
05/03/2022;-0.6;9.7;0;1.46;1436.268262
06/03/2022;-0.9;6.1;0;1.37;1549.770589
07/03/2022;-3;7.7;0;1.72;1513.011799
08/03/2022;-1.7;13.7;0;1.64;1596.722502
09/03/2022;2.2;14.9;0;1.78;1531.252606
10/03/2022;4.3;15.4;0;1.88;1485.919361
11/03/2022;6.5;15.3;1;2.66;832.069924
12/03/2022;5;6.8;4;0.76;492.3733488
13/03/2022;4.7;9.3;3;1.07;498.5817617
14/03/2022;1.1;13.1;1.8;1.64;1575.111887
15/03/2022;7.7;14;0;1.7;761.9949563
16/03/2022;8.7;14;0;1.62;635.5631376
17/03/2022;7;8.1;0;1.57;583.0249025
18/03/2022;3;12.1;0;2.5;1086.062194
19/03/2022;4.2;14.2;0;2.65;1656.054388
20/03/2022;3;14.6;1;1.95;1028.48153
21/03/2022;7.1;17.5;0;3.31;1670.307341
22/03/2022;5.1;17;0;3.43;1759.054694
23/03/2022;4.2;16.9;0;2.78;1797.012454
24/03/2022;5.7;19;0;2.69;1827.504117
25/03/2022;7.6;18.8;0;3.07;1811.664527
26/03/2022;6.5;18.6;0;3.28;1825.341913
27/03/2022;6.7;20.3;0;2.97;1937.317905
28/03/2022;9.7;20.8;0;3.21;1737.937388
29/03/2022;9.7;17.3;2;3.25;1126.153251
30/03/2022;7.8;11.6;4;1;663.4044033
31/03/2022;2.5;8.1;1;1.07;641.0362689
01/04/2022;-0.6;2.9;1;0.51;616.0634096
02/04/2022;-0.6;1.5;1;0.82;622.0894167
03/04/2022;-2.4;5;0;1.25;1039.199013
04/04/2022;-1.5;9.8;0.2;2.1;2123.451547
05/04/2022;4.1;8.1;0.6;0.84;703.7467547
06/04/2022;5.2;10.4;1;0.85;660.744114
07/04/2022;7.7;12;16;1.09;651.7642546
08/04/2022;7.5;12.3;10;2.13;872.6136211
09/04/2022;1.5;9.5;1;1.47;1357.768391
10/04/2022;0.6;12.4;0;2.25;2163.493028
11/04/2022;3.7;19.2;0;2.72;1931.510522
12/04/2022;9.5;20.7;0;4.22;1643.667553
13/04/2022;9.4;16.7;0;2.03;1057.637158
14/04/2022;9.1;19;0;2.74;1845.314375
15/04/2022;10;19.4;0;2.69;2278.424371
16/04/2022;8.7;17.7;0;3.49;2366.580717
17/04/2022;4.7;20.5;0;4.32;2447.626743
18/04/2022;8.4;19.1;0;3.31;2111.229188
19/04/2022;5.6;18.1;0;2.9;2104.915675
20/04/2022;6.8;18.1;0;3.25;2057.731831
21/04/2022;5.5;18.5;0;2.93;2036.388581
22/04/2022;6.5;18.6;0;2.94;2298.456997
23/04/2022;9.4;18.4;3;2.53;1176.621455
24/04/2022;8.3;17.8;0.8;1.71;931.6248688
25/04/2022;9.7;14.6;4.4;1.94;986.2135218
26/04/2022;3.9;14.8;0;2.51;2208.813689
27/04/2022;4.7;17.8;0;3.05;2502.864656
28/04/2022;6.8;20.7;0;4.1;2345.635317
29/04/2022;10;18.5;0.2;2.17;1298.717649
30/04/2022;5.7;15.8;0;2.7;2049.779121
01/05/2022;5;17.9;0;2.82;2483.489956
02/05/2022;6.9;17.3;0;2.52;1982.301012
03/05/2022;8;20.5;0;3.29;2170.563491
04/05/2022;9.4;14.2;2.6;1.71;901.816849
05/05/2022;7.4;16.7;3.6;2.53;1726.007522
06/05/2022;6.4;19.9;0;2.99;2201.511755
07/05/2022;9.2;21.5;0;3.22;1935.012265
08/05/2022;10.4;22;1;3.57;2463.184637
09/05/2022;11.2;25.1;0;3.86;2393.069527
10/05/2022;12.9;26;0;4.41;2404.814269
11/05/2022;13.3;26.9;0;6.19;2620.549492
12/05/2022;12.5;20.6;0;2.83;1493.011305
13/05/2022;11.8;21.9;0;5.1;2530.871207
14/05/2022;12;23.9;0;3.88;2572.987121
15/05/2022;13.6;29.7;1.8;4.99;2344.469493
16/05/2022;15.1;26;0;4.5;2159.112084
17/05/2022;15.5;28.2;0;5.04;2556.764816
18/05/2022;16.4;29.7;0;5.48;2378.112152
19/05/2022;18.2;29.1;0;6.74;2523.138584
20/05/2022;16.4;29.2;0.2;6.65;2011.234577
21/05/2022;10.4;25.9;0;4.84;2833.878631
22/05/2022;13.7;27.8;25.8;5.17;1889.34654
23/05/2022;14.8;20.4;8;3.06;1220.709039
24/05/2022;9.8;17.3;0;3.11;1942.610598
25/05/2022;8.8;19;0;3.1;2361.017193
26/05/2022;11.3;19.4;0;3.2;1646.28024
27/05/2022;10.5;17.8;0.2;2.11;1438.970871
28/05/2022;9.8;18.6;0;4.09;2746.887211
29/05/2022;7.1;16.4;0;4.28;2695.368772
30/05/2022;6;19.8;0;4.28;3038.96712
31/05/2022;9.4;21.6;0;4.6;2663.735295
01/06/2022;9.4;22.8;0;3.83;2369.339857
02/06/2022;11.7;26.1;0.2;5.16;2296.448867
03/06/2022;15.1;26.5;11.9;3.78;1825.437922
04/06/2022;15.8;26.8;4;5.44;2365.336248
05/06/2022;15.2;21.4;7.6;3.54;1767.073793
06/06/2022;13;20.9;3.6;3.84;1873.15802
07/06/2022;13;20.4;1;4.06;1913.630407
08/06/2022;12;20.3;10.1;2.54;1480.887112
09/06/2022;11.8;19.5;0;4.09;2254.410357
10/06/2022;11.8;25.3;0;4.32;2816.745419
11/06/2022;14.1;28;0;5.01;2883.979747
12/06/2022;14.8;25.9;0;5.23;2484.632321
13/06/2022;10.8;23.4;0;5.11;2915.042436
14/06/2022;11.4;28.1;0;5.06;2831.093354
15/06/2022;16.4;32.8;0;6.64;2723.872999
16/06/2022;17.5;30;0;6.78;2824.499213
17/06/2022;17.8;32.6;0;6.39;2763.257052
18/06/2022;21.5;36.8;0;8.76;2695.229388
19/06/2022;21.8;35.3;4.1;9.5;2696.118327
20/06/2022;16.2;25.8;8.3;5.42;2361.161982
21/06/2022;14.5;29.4;8.2;4.99;2455.140834
22/06/2022;16.8;24.7;8.9;3.49;1581.675107
23/06/2022;14.6;26.5;9.3;4.15;1875.41365
24/06/2022;14.1;22.8;2.4;3.61;1839.006513
25/06/2022;13.5;22.5;6.9;3.95;1785.721574
26/06/2022;12.2;15.3;6.2;0.15;1030.964719
27/06/2022;12.8;21.7;3.4;2.73;1537.315447
28/06/2022;12.3;25.1;0;4.55;2904.051466
29/06/2022;14.8;26.2;10.9;5.25;2904.430153
30/06/2022;11.5;12.8;15.3;0.41;1027.517132
01/07/2022;10.8;20.4;0;4;2557.038047
02/07/2022;13;26.1;0;4.61;2884.396172
03/07/2022;13.8;25.3;0;4.68;2664.79594
04/07/2022;13.3;24.8;0;4.16;2435.379161
05/07/2022;13.4;25;0;4.95;2820.829589
06/07/2022;13.1;23;0;5.03;2779.458726
07/07/2022;13.1;22.8;0;3.44;1961.204011
08/07/2022;10.7;24;0;4.76;2817.40356
09/07/2022;15.3;26.7;0;4.95;2596.4839
10/07/2022;12.8;24.6;0;5.83;2793.562009
11/07/2022;13.9;27.9;0;5.96;2780.223724
12/07/2022;16.4;29.6;0;6.34;2728.466207
13/07/2022;18.5;31.9;0;5.73;2448.445362
14/07/2022;19.4;32.5;0;7.28;2640.631002
15/07/2022;15.5;26.1;0;6.64;2707.55624
16/07/2022;14.5;27.2;0;5.91;2660.663623
17/07/2022;15.2;30.3;0;6.6;2704.610942
18/07/2022;20.1;37.5;0;7.32;2608.820539
19/07/2022;22.7;37.3;0;8.38;2587.040811
20/07/2022;19.1;23;1.8;3.09;1148.065886
21/07/2022;15.5;27.8;0;4.97;2457.851516
22/07/2022;17;29.1;8.4;3.8;1675.859178
23/07/2022;17.7;25.6;0.2;3.8;1785.524949
24/07/2022;17.9;32.5;0;5.52;2641.438509
25/07/2022;19.7;26.4;0.2;5.4;2056.239755
26/07/2022;15.3;23.6;0;4.23;1723.128003
27/07/2022;14;25;0;5.19;2342.619459
28/07/2022;14.8;26.8;0;5;2247.085205
29/07/2022;17.3;28.1;0;4.86;1911.161838
30/07/2022;18.2;29.7;0;5.44;2244.411235
31/07/2022;16.8;29.8;0;5.92;2555.070811
