Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2019;6.6;13.6;9.4;1.48;797.5116414
02/02/2019;3.6;5.2;0.4;0.71;303.9229596
03/02/2019;-0.2;7.5;0;1.14;864.7572151
04/02/2019;-1.7;9.5;7.4;0.4;700.6231148
05/02/2019;3.8;11.8;1.6;0.09;315.8816385
06/02/2019;9.7;11.7;0.4;0.76;401.8878578
07/02/2019;7.7;12.9;1.2;0.87;456.3564214
08/02/2019;2.9;13.6;0;0.83;839.6801782
09/02/2019;5.6;15.8;0;1.22;852.6716429
10/02/2019;6.3;13.6;1.6;1.36;369.4124882
11/02/2019;4.7;10.8;0.8;1.07;788.6054579
12/02/2019;0.8;11.3;0.2;0.81;1074.082392
13/02/2019;0.1;13.4;0;1.08;1181.857829
14/02/2019;6.3;15.6;0.2;1.38;1172.58853
15/02/2019;5.4;16.5;0.2;1.67;1193.133888
16/02/2019;3.5;16.8;0.2;1.57;1150.195095
17/02/2019;5.7;16.7;0;1.77;1227.888104
18/02/2019;6.3;16.9;0.2;1.82;1200.587617
19/02/2019;4.9;9.6;0.4;0.56;469.0581872
20/02/2019;3;16.1;0.2;1.21;1191.791034
21/02/2019;5;18.5;0;1.69;1239.035839
22/02/2019;4;19.7;0;1.87;1266.7812
23/02/2019;4.5;21.1;0;1.78;1287.443638
24/02/2019;8.3;17.5;0;1.81;1143.113185
25/02/2019;4.5;19.6;0;1.7;1305.030092
26/02/2019;6.5;21.3;0;1.94;1353.409071
27/02/2019;7.2;24.9;0;2.6;1392.219686
28/02/2019;8.5;16.2;0;1.66;943.7366453
01/03/2019;8.1;13.6;0;1.37;654.2867237
02/03/2019;6.1;16.3;0.4;1.71;923.0839166
03/03/2019;3.9;23.3;0;2.57;1408.808568
04/03/2019;10.1;14.2;0;2.62;861.3172946
05/03/2019;6.4;17.2;0;2.35;1526.250493
06/03/2019;9.5;17.7;4.8;2.67;713.162535
07/03/2019;6.7;15.1;0.6;2.66;1452.985804
08/03/2019;6.9;13.7;0.8;1.43;919.2263069
09/03/2019;6.8;14.6;0;0.51;594.5166885
10/03/2019;11.1;14.5;1.2;1.2;609.0856436
11/03/2019;7.1;14.3;0.4;1.91;1345.737736
12/03/2019;3.7;19.4;2;2.38;1560.163366
13/03/2019;5.9;11.9;2;1.56;1147.487057
14/03/2019;6.3;11.8;4;1.46;994.4575593
15/03/2019;8.5;13.3;0;1.55;858.6225121
16/03/2019;7.5;19.2;0;2.58;1778.932971
17/03/2019;8;12.9;1.6;1.62;881.833435
18/03/2019;3.9;12.9;3.2;1.91;1465.016455
19/03/2019;5.7;11.3;0;1.77;897.5597603
20/03/2019;2.4;14.8;0;2.25;1928.56604
21/03/2019;1.8;16.4;0;2.13;1942.49085
22/03/2019;3.2;19.3;0;2.52;1932.826819
23/03/2019;4.9;21.6;0;2.82;1884.215953
24/03/2019;7.5;20.9;0;2.88;1968.533664
25/03/2019;4.8;15.9;0;2.67;1885.456995
26/03/2019;3.1;15.6;0;2.73;2090.004348
27/03/2019;3.4;16.4;0;2.55;2067.220005
28/03/2019;3.8;17.6;0;2.52;2064.280581
29/03/2019;3.4;19.8;0;3.07;2026.870675
30/03/2019;8;19.6;0;3.61;2050.891372
31/03/2019;5.5;19.2;0;2.76;1963.256487
01/04/2019;8.3;19.7;5;2.72;1585.205264
02/04/2019;10.4;17.7;4.8;2.59;1183.479348
03/04/2019;5;9.7;3.6;1.76;1030.150848
04/04/2019;2;11.8;0;2.37;1730.570698
05/04/2019;6.1;16.8;11.2;2.88;1571.622961
06/04/2019;5.5;8.8;5.2;1.08;731.1555022
07/04/2019;6;14.3;0.8;2.03;1513.419838
08/04/2019;5.9;15.7;7;1.31;995.2198028
09/04/2019;6.2;17.8;0.2;2.73;2083.946599
10/04/2019;6.9;18.1;0.4;2.57;1504.567323
11/04/2019;7.5;14.6;0.2;1.9;986.95793
12/04/2019;5.4;17.2;0;3.26;2324.202002
13/04/2019;3.9;18.4;0.2;3.01;2384.914541
14/04/2019;5.8;16.5;0;2.48;1454.60181
15/04/2019;7.1;17.7;11.2;2.86;1503.224225
16/04/2019;9.2;18;0.2;3.33;1887.993449
17/04/2019;9.6;17.8;0;2.79;1556.559645
18/04/2019;11.9;18.8;0;3.66;1401.040412
19/04/2019;14.2;22.2;0;5.57;2122.474742
20/04/2019;8.7;23.1;0.4;4.34;2402.671313
21/04/2019;11.6;16.6;0.2;2.91;1005.180883
22/04/2019;9.1;20.2;0;3.09;1383.27165
23/04/2019;12.6;20.6;7.2;3.65;1436.697761
24/04/2019;8.7;19.4;14.2;3.47;1907.968883
25/04/2019;10.1;18.9;2;3.38;1671.190644
26/04/2019;8;15;5.2;2.27;1388.921956
27/04/2019;8.7;14.8;1.6;2.58;1345.42271
28/04/2019;8.1;15.3;0;2.7;1716.13951
29/04/2019;7.8;18.4;0;2.85;2082.772857
30/04/2019;6.6;19.6;0;3.35;2644.024727
01/05/2019;8.1;22.2;0;3.68;2445.785007
02/05/2019;10.4;18.3;1.8;3.3;1629.868014
03/05/2019;8.2;15.3;2.6;2.21;1250.75454
04/05/2019;8.1;15;5.8;2.61;1587.736911
05/05/2019;1.2;14;0;2.74;2297.532086
06/05/2019;4;17.1;0;3.18;2749.245041
07/05/2019;7;21.7;2.4;3.49;2035.903333
08/05/2019;11.3;16.3;6.6;1.98;884.1584105
09/05/2019;10.3;19.3;0.4;3.56;1816.591615
10/05/2019;11.3;24;0.2;3.43;1852.555042
11/05/2019;12.6;18.9;0.8;4.13;1977.23227
12/05/2019;9.2;18.9;0;4.23;2600.09965
13/05/2019;7;21.1;0;4.53;2853.038295
14/05/2019;8.5;22.4;0;4.29;2775.446626
15/05/2019;9.3;22.3;0;4.59;2834.338566
16/05/2019;8.9;22.1;8;3.96;2345.982799
17/05/2019;10;14.3;5.4;1.16;851.4705562
18/05/2019;9.4;15.4;3.6;3;1703.776685
19/05/2019;8.3;14.6;0.2;1.5;921.3671669
20/05/2019;9;17.8;0.6;2.68;1584.993472
21/05/2019;8.3;20.1;0;2.96;2048.154289
22/05/2019;10.3;23.9;0;4.08;2687.071049
23/05/2019;10.9;25.6;18.8;3.8;2179.496628
24/05/2019;13.1;17.2;13;1.76;931.2500681
25/05/2019;12.9;20.5;0;4.02;1946.112745
26/05/2019;11.4;20.9;0.4;3.61;1858.72126
27/05/2019;11.8;17.6;1.6;2.1;1256.406299
28/05/2019;10.4;16.3;12.6;3.03;1679.6988
29/05/2019;9.7;19.3;0;3.57;1997.994555
30/05/2019;9.6;22.6;0;3.62;2655.103431
31/05/2019;12.8;26.9;0;4.73;2933.910986
01/06/2019;14.3;30.3;0;5.76;2845.885037
02/06/2019;14.4;32.7;0;5.97;2755.006188
03/06/2019;14.9;26.1;0;4.37;2104.171898
04/06/2019;15.5;28.6;15.2;5.57;2410.996481
05/06/2019;10.9;13.6;8.4;1.24;1022.118402
06/06/2019;9.9;21.6;0.2;3.97;2485.807234
07/06/2019;12;19.7;1;5.22;2417.541345
08/06/2019;8.1;21.9;0;4.2;2804.644431
09/06/2019;13.6;23.3;5.4;4.05;1978.805923
10/06/2019;11.4;17.8;3.4;2.85;1340.223145
11/06/2019;9.7;17;2.6;3.23;1993.280388
12/06/2019;10.1;19.3;0;4.44;2570.648587
13/06/2019;8.6;24.8;0;4.33;2711.349856
14/06/2019;13.3;16.8;3;1.52;1032.003096
15/06/2019;12.2;20.8;2.8;2.79;1507.643831
16/06/2019;11.1;24.6;0;4.46;2889.31395
17/06/2019;13.9;29.5;0;5.38;2863.65407
18/06/2019;16.6;33;0;6.78;2541.530965
19/06/2019;16;26.1;7.3;5.2;2275.537341
20/06/2019;15.8;21.7;4.6;2.77;1270.938678
21/06/2019;13.4;19;7.6;1.41;1034.061777
22/06/2019;12.6;24.8;0;4.45;2577.183343
23/06/2019;16.7;32;0;5.42;2411.600948
24/06/2019;18.5;28.8;0;4.62;1942.790214
25/06/2019;17.4;31.9;0;6.23;2464.230121
26/06/2019;15.7;36.5;0;7.86;2666.300334
27/06/2019;19.4;37.3;0;7.36;2661.04447
28/06/2019;17.7;30.6;0;5.58;2347.167785
29/06/2019;20.5;36.4;0.2;6.72;2641.650309
30/06/2019;16.8;27.5;0.4;4.41;1939.683349
01/07/2019;17.8;23.6;0;2.83;1114.501392
02/07/2019;17;25.8;0;3.46;1658.883315
03/07/2019;18.4;32;0;5.65;2471.429442
04/07/2019;18.8;34.4;0;7.04;2693.014344
05/07/2019;21;34.6;0;6.41;2616.739912
06/07/2019;19.9;31.6;0;6.8;2552.873778
07/07/2019;18.3;29.6;0;5.85;2389.020191
08/07/2019;17.3;28.2;27;3.9;1565.219956
09/07/2019;17.2;25.9;0;3.72;1568.197258
10/07/2019;16.6;28.9;0;6.28;2666.143804
11/07/2019;16.2;29.5;0;6.1;2682.15779
12/07/2019;15;29.5;0;5.99;2750.289073
13/07/2019;17.2;28.9;0;5.6;2360.394116
14/07/2019;16.8;28.3;0;6.68;2714.809363
15/07/2019;15.4;27.6;0;6.16;2801.324213
16/07/2019;14.3;29.8;0;5.74;2751.516076
17/07/2019;15.5;29;0;6.03;2459.730297
18/07/2019;16;26;0;5.5;2356.345741
19/07/2019;14.7;30.6;1;5.51;2688.673946
20/07/2019;17.4;29.9;0.6;5.47;2284.733292
21/07/2019;19.2;30.3;0;5.79;2210.176107
22/07/2019;19.4;35.8;0;6.25;2437.399373
23/07/2019;24;38.9;0;8.22;2525.953958
24/07/2019;20.3;37.7;0;7.15;2518.576755
25/07/2019;23.8;38.3;0;8.38;2520.583765
26/07/2019;19.8;24.2;20.6;2.44;972.5432907
27/07/2019;17;20;4.2;2.34;1242.623397
28/07/2019;14.3;24.8;0;4.84;2364.895005
29/07/2019;13.3;30.2;0.4;5.69;2636.919296
30/07/2019;17.1;24;0;4.22;1391.934303
31/07/2019;12.5;24.7;0.2;4.39;2460.55025
