Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2022;0.8;9.9;0.8;0.08;247.4503921
02/02/2022;7.9;11.1;0.2;0.49;369.9994713
03/02/2022;5.1;7.7;0;0.36;347.1663946
04/02/2022;5.4;10.2;0.4;0.77;317.6431847
05/02/2022;-0.3;9.5;0.2;0.21;814.860104
06/02/2022;4.3;10.7;3.4;0.12;267.6734826
07/02/2022;2.7;9.8;0;0.39;835.7383688
08/02/2022;2.3;10.6;0.2;0.32;397.2232041
09/02/2022;-0.2;13.4;0;0.31;906.8693458
10/02/2022;4;10.3;0.6;0.58;535.862661
11/02/2022;-0.6;8.6;0;0.28;909.9098295
12/02/2022;-1.8;8;0;0.45;968.1631281
13/02/2022;-2;14.5;0.4;0.84;821.5305117
14/02/2022;6.3;11.7;2.2;1.02;518.7438102
15/02/2022;2.2;10.2;6.2;0.27;642.0558047
16/02/2022;8.3;14.3;0.4;0.32;393.3271522
17/02/2022;9.4;13;0.4;1.46;877.4597932
18/02/2022;7.7;12.8;0.2;1.52;355.9348691
19/02/2022;1.2;9.6;0;0.95;990.3535175
20/02/2022;7;12.3;1;0.93;468.0892911
21/02/2022;4.8;10.2;0.2;1.65;628.6453718
22/02/2022;3.8;11.6;0.2;0.49;376.3662347
23/02/2022;1.8;11.5;0.6;0.52;632.7677826
24/02/2022;6;12;1.6;1.39;644.2166187
25/02/2022;0.1;10.8;0;1.05;1046.381794
26/02/2022;-2.3;9.4;0.2;0.91;1235.404393
27/02/2022;-1;10.5;0;1.23;1259.322508
28/02/2022;-3.6;13;0;0.92;1320.745968
01/03/2022;-1.5;12.8;0;0.95;906.3647027
02/03/2022;3.1;13.6;0;1.04;850.1640256
03/03/2022;7.2;11.5;0;0.66;428.7287128
04/03/2022;5.1;11.9;0;0.71;506.6676158
05/03/2022;4.5;12.1;0;1.34;1117.31145
06/03/2022;0.4;7.9;0;1.56;1405.989723
07/03/2022;-2.1;6.6;0;1.62;1455.744498
08/03/2022;-2.2;14;0;1.71;1464.500037
09/03/2022;-0.3;15.4;0;1.48;1275.613508
10/03/2022;2.3;16.5;0;1.81;1442.874661
11/03/2022;5.3;13.5;2.4;1.35;512.4140898
12/03/2022;3.7;9.4;0.4;0.61;495.349849
13/03/2022;6.3;11.1;2.2;1.36;515.5944363
14/03/2022;1.5;14.6;1.2;1.65;1556.743536
15/03/2022;7.7;12.3;0.6;0.73;540.0588604
16/03/2022;5.5;13.1;0;0.67;542.7811257
17/03/2022;7.3;9.2;0;1.4;760.8781533
18/03/2022;4.3;14.5;0;3.49;1431.473579
19/03/2022;6;16.1;0;3.47;1591.855932
20/03/2022;0.7;11.2;0;1.61;1216.456662
21/03/2022;4.9;18;0;2.15;1540.042665
22/03/2022;4.1;18;0;3.03;1671.360992
23/03/2022;1.4;18.3;0;2.67;1712.31584
24/03/2022;1.9;20.8;0;2.59;1710.31808
25/03/2022;5.1;20;0;3.4;1737.832807
26/03/2022;5.2;19.9;0;3.71;1770.956005
27/03/2022;5.5;21.1;0;3.08;1750.270829
28/03/2022;3.1;21.7;0;2.48;1605.867371
29/03/2022;9.3;16.4;1.8;1.74;793.837424
30/03/2022;7.5;14.8;3.4;1.24;753.2023491
31/03/2022;3.5;7.4;0.2;1.35;799.6658984
