Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2019;5.5;9;5;0.6;335.8328511
02/02/2019;3;8.2;0;1.45;647.5866243
03/02/2019;-1.8;8.6;0.2;1.12;936.9991956
04/02/2019;-0.4;4.7;5.6;0.32;283.5769286
05/02/2019;3;9.9;1;0.23;356.6128157
06/02/2019;9.1;13.5;2.4;0.37;333.050374
07/02/2019;5.8;12.2;0;0.87;747.6539001
08/02/2019;6.9;12.8;1.8;1.08;418.9117055
09/02/2019;7.6;13;3.4;1.3;564.1355855
10/02/2019;7.4;11.9;6.4;1.37;728.8731911
11/02/2019;3.9;13.2;0;1.01;761.7611249
12/02/2019;-0.3;13.3;0.4;0.72;1012.678596
13/02/2019;0.9;12.3;0;1.25;1089.918169
14/02/2019;2.2;14.9;0;1.24;1071.108162
15/02/2019;3.4;16.4;0.2;1.16;1096.983007
16/02/2019;2.6;17.7;0;1.27;1072.533804
17/02/2019;6.1;17;0;2.1;1063.698539
18/02/2019;3.6;14.4;1.2;1.03;836.8319358
19/02/2019;6.6;14.3;0.2;0.9;658.536815
20/02/2019;3.8;9.8;0.2;0.59;821.3414633
21/02/2019;2.6;17.4;0.2;1.29;1069.629829
22/02/2019;4.5;19.9;0;2.3;1175.756187
23/02/2019;6.9;20.5;0.2;2.2;1205.306108
24/02/2019;3.7;15;0.2;1.35;1194.441347
25/02/2019;1.7;18.6;0;1.54;1219.053216
26/02/2019;5;21;0;1.79;1266.733155
27/02/2019;5.2;23.4;0.4;2.32;1293.501075
28/02/2019;6.7;14.9;0;1.4;739.9442083
01/03/2019;6.1;15.3;3.2;1.55;1015.078891
02/03/2019;9.7;15.1;0;1.56;1196.354704
03/03/2019;11.2;17.9;7.4;2.65;1058.848295
04/03/2019;8.8;13.3;0.4;2.56;1160.178553
05/03/2019;7;15.2;1.8;1.99;1187.142355
06/03/2019;10.5;14;16.2;1.43;470.757505
07/03/2019;7.3;13.4;3.4;1.76;1048.937077
08/03/2019;2.2;14.2;2.8;1.29;1297.632746
09/03/2019;10.2;13.9;0.6;0.47;492.6782241
10/03/2019;9.7;15.4;3.4;2.35;1335.572524
11/03/2019;5.1;13.9;0;2.4;1589.966794
12/03/2019;2;13.9;1;1.61;998.7938799
13/03/2019;6;13.2;0.6;2.28;1454.807125
14/03/2019;6.8;13.3;0.4;1.56;918.8999382
15/03/2019;10.9;15;0;1.46;686.2937191
16/03/2019;9.9;14.6;1.2;2.24;1280.439427
17/03/2019;6.9;12.3;2;2.32;1563.766736
18/03/2019;2.4;12.9;0.8;1.89;1205.811196
19/03/2019;3.1;12.4;0.2;1.53;1219.004877
20/03/2019;1.8;16;0;1.74;1572.373762
21/03/2019;4;17.2;0.2;2.62;1853.939769
