Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2018;2.1;10;0.8;0.66;668.1068571
02/02/2018;-3.3;6.7;0.2;0.32;744.9619735
03/02/2018;-1.5;6.3;4.8;0.45;319.867226
04/02/2018;-0.9;7.3;0.2;0.51;370.9513885
05/02/2018;-0.7;1.1;0;0.96;850.0505426
06/02/2018;-0.9;0.3;0.4;0.3;376.2494749
07/02/2018;-0.9;1;0.2;0.48;431.6276102
08/02/2018;-1.8;3.6;0.2;0.55;748.7600295
09/02/2018;-4.5;5.3;0.2;0.6;380.0867555
10/02/2018;-6;7.6;4.6;0.39;875.8718222
11/02/2018;3.1;10.7;2.6;0.95;686.560617
12/02/2018;-3.5;7.8;0.2;0.64;1017.920911
13/02/2018;-3.2;3.7;1.2;0.87;424.6998249
14/02/2018;-2.3;11.2;12;0.45;331.7209547
15/02/2018;5.7;14.3;8.6;0.19;336.4568106
16/02/2018;8;11;18;0.85;509.5316438
17/02/2018;5.9;9.7;1.6;0.94;653.8768152
18/02/2018;-0.3;8.1;3.4;0.1;350.9853441
19/02/2018;0.6;10.2;2.4;0.31;435.3009291
20/02/2018;7.5;10.5;2.4;1.22;464.3582114
21/02/2018;1;5.3;0;1.25;1028.08365
22/02/2018;-1.5;5.5;0;1.25;1147.793491
23/02/2018;-2.5;2.7;0;1.19;971.3291028
24/02/2018;-2.5;6.5;0;1.06;1191.586556
25/02/2018;-1.8;5.2;0;1.81;1297.211692
26/02/2018;-4.4;1.5;0.2;2.32;1364.281904
27/02/2018;-7.2;-0.9;0;1.61;1381.460668
28/02/2018;-8.5;1.4;3;1.17;581.5772331
01/03/2018;-2.8;14.7;2.8;0.56;732.3356596
02/03/2018;5.7;11.2;6;2.54;1272.811816
03/03/2018;5.6;15.2;2;2.06;1229.970595
04/03/2018;6.5;11.7;6.4;1.53;899.1260892
05/03/2018;2.6;12.5;0.4;1.28;868.199585
06/03/2018;3.4;11.2;11.4;0.96;690.634083
07/03/2018;3.9;12;2;1.55;1289.224116
08/03/2018;2.5;15.1;0;1.94;1448.302485
09/03/2018;8.4;17.3;1.2;2.48;815.0387606
10/03/2018;11;18.6;0.8;2.02;927.4532335
11/03/2018;9.9;16.9;2.2;2.77;1052.585542
12/03/2018;8.1;12;10.8;1.78;855.5502078
13/03/2018;4;13.5;0.4;1.76;1353.339125
14/03/2018;1.9;16.6;6;1.96;1113.356498
15/03/2018;7.5;13.3;9.6;1.34;855.7751975
16/03/2018;6.5;13.4;0.2;1.51;1020.189361
17/03/2018;-0.3;10.9;1;1.01;943.7102382
18/03/2018;4.6;10.2;5.8;1.24;1219.490492
19/03/2018;-1;5.6;1.8;0.22;553.3412343
20/03/2018;0.1;7.8;0;2.28;1634.838571
21/03/2018;-0.9;8.6;0;2.12;1879.009579
22/03/2018;-2.1;9.6;0;1.54;1706.528391
23/03/2018;-1.9;6.8;4.8;0.41;577.4990414
24/03/2018;5.5;12.7;0.2;1.77;1219.779563
25/03/2018;5.9;12.8;0;1.71;942.4907965
26/03/2018;2.1;12.6;5.4;1.73;1129.873436
27/03/2018;3.8;12.3;12;0;601.4438772
28/03/2018;8.8;11.9;10.4;0.84;607.3834643
29/03/2018;1.5;12.4;2.4;1.66;1356.38112
30/03/2018;4.6;12.6;1.6;2.37;1472.052783
31/03/2018;4.1;11.1;3.6;1.81;1323.641671
01/04/2018;0;14.1;0.2;1.93;1514.895414
