Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2022;-0.7;9.8;1.6;0.11;249.4519108
02/02/2022;8.1;10.2;0;0.65;320.6442464
03/02/2022;4.3;7.9;0.4;0.45;348.6885407
04/02/2022;5.4;10.4;0.8;0.97;323.7555721
05/02/2022;-1.2;9.9;0.2;0.47;800.1653979
06/02/2022;4.1;10.7;4.6;0.21;269.6702022
07/02/2022;2.1;10.3;0;0.66;813.6248722
08/02/2022;3.3;12;0;0.52;503.3177229
09/02/2022;0.2;15.2;0.4;0.53;911.9615383
10/02/2022;3.7;11.2;0.4;0.85;546.9328482
11/02/2022;-1.9;9;0.2;0.51;888.1491406
12/02/2022;-0.9;8.2;0;0.85;969.0159421
13/02/2022;-0.6;15.1;0.4;1.08;813.5386217
14/02/2022;6.4;12.1;1.8;1.19;524.5093296
15/02/2022;1.9;10.6;7.2;0.4;609.6668917
16/02/2022;8.3;14.2;0.8;0.5;394.4883127
17/02/2022;9.7;13.7;0.4;1.83;863.4553784
18/02/2022;7.5;13.1;0.6;1.49;371.2270916
19/02/2022;1.2;10;0;1.2;990.4874398
20/02/2022;7.3;12.8;2.2;1.19;475.2578257
21/02/2022;4.8;10.7;0;1.81;670.4634107
22/02/2022;2.8;11.2;0.6;0.54;389.1827642
23/02/2022;2;12;0;0.81;636.052912
24/02/2022;5.2;12.5;0.4;1.59;644.3183217
25/02/2022;-0.3;10.6;0.2;1.22;1056.404472
26/02/2022;-2.3;10;0.2;1.23;1237.302065
27/02/2022;-1.3;10.3;0;1.44;1262.986824
28/02/2022;-2.4;13;0;1.2;1305.311116
01/03/2022;-1.2;13.1;0;1.18;881.576265
02/03/2022;3.4;13.6;0;1.24;814.5594086
03/03/2022;8.2;12.3;0;0.86;469.1278743
04/03/2022;5.1;12.2;0.2;0.83;531.7890482
05/03/2022;5.8;12.6;0.2;1.25;907.2356671
06/03/2022;-0.1;8.1;0;1.66;1376.719865
07/03/2022;-1.5;7.2;0;1.74;1448.095365
08/03/2022;-1.8;15.1;0;1.87;1458.337546
09/03/2022;0.3;15.8;0;1.76;1303.375132
10/03/2022;3.2;16.5;0;1.94;1327.043543
11/03/2022;4.9;14;4.2;1.52;513.2826624
12/03/2022;4.7;9.3;0.4;0.78;551.0545016
13/03/2022;5.4;10.9;2;1.21;492.344346
14/03/2022;1.9;14.5;2;1.7;1545.327706
15/03/2022;8.3;12.9;0.8;0.73;534.568149
16/03/2022;6.6;13.3;0;0.7;529.4476169
17/03/2022;7.3;9.4;0;1.36;713.5785963
18/03/2022;4.4;14.6;0;3.45;1400.241126
19/03/2022;6;15.3;0;3.18;1527.391024
20/03/2022;1.7;12.7;0;1.64;1082.138779
21/03/2022;5.6;18;0;2.29;1477.417307
22/03/2022;4.5;17.7;0;3.14;1666.245085
23/03/2022;2;17.9;0;2.8;1697.48303
24/03/2022;3.7;20.3;0;2.73;1708.552985
25/03/2022;7;20.3;0;3.57;1727.842805
26/03/2022;5.7;19.8;0;3.68;1762.080938
27/03/2022;7.2;21.1;0;3.18;1739.145841
28/03/2022;1.6;21.8;0;2.57;1566.325359
29/03/2022;10.1;17.1;2.8;1.78;778.932217
30/03/2022;6.9;13.2;3;1.14;725.5780075
31/03/2022;4.3;7.6;0.2;1.36;788.485123
01/04/2022;-0.1;2.9;0.8;0.87;610.9904638
02/04/2022;-0.5;6.7;0;2.23;1324.20629
03/04/2022;-1.3;8.8;0;2.36;1685.658833
04/04/2022;-4.2;11.5;0;2.14;1695.193297
05/04/2022;6.2;12;0.2;1.01;635.2064784
06/04/2022;4.8;12;1;1.15;749.6683258
07/04/2022;9.4;15.1;7.4;2.69;983.5917061
08/04/2022;4.4;15.6;19.2;1.58;729.9179024
09/04/2022;2.5;11.4;0;2.16;1570.606348
10/04/2022;-1.7;13.8;0.2;2.33;2052.872509
11/04/2022;3.9;20.1;0;3.4;1943.719579
12/04/2022;9.1;21.3;7;3.22;1661.169441
13/04/2022;11.5;15.8;4.7;1.18;772.2664405
14/04/2022;8.5;21;0.2;2.82;1908.9135
15/04/2022;8.2;21.2;0;3.18;2095.553252
16/04/2022;9.7;19.8;0;3.98;2211.799644
17/04/2022;5.9;20.3;0;3.8;2301.836034
18/04/2022;6.6;19.5;0;3.03;2004.440621
19/04/2022;6;16.9;0;2.75;1644.002833
20/04/2022;6.2;19.4;0;3.35;1737.712003
21/04/2022;6;19.6;0;3.71;2091.56667
22/04/2022;6.8;19.1;0;3.35;2111.847425
23/04/2022;9.5;20.7;0.8;3;1534.110247
24/04/2022;8.3;19;0;2.85;1486.054654
25/04/2022;8.1;17.1;0.2;2.84;1809.613392
26/04/2022;3.4;16.1;0;2.16;1737.169245
27/04/2022;5.2;18.8;0;3.75;2372.889993
28/04/2022;8;20.9;0;3.72;1941.069555
29/04/2022;10.9;20.8;0;3.97;1990.503378
30/04/2022;5.2;17.1;0;3.68;2235.429543
01/05/2022;4.7;17.5;0;3.27;2191.053757
02/05/2022;5.8;18.4;0;3.22;1984.134638
03/05/2022;7.2;20.2;0.6;3.84;2171.658935
04/05/2022;10.3;17.6;2.8;2.35;969.4463432
05/05/2022;6.4;18.8;0;2.43;1606.27469
06/05/2022;6.5;21.9;0;3.86;2382.533165
07/05/2022;8.1;21.3;0.2;3.74;2200.207067
08/05/2022;9.8;21.9;0;3.97;2379.498031
09/05/2022;9.2;26;0;4.32;2533.640439
10/05/2022;9.1;27.8;0;5.29;2438.359745
11/05/2022;11.1;25.9;0;5.6;2643.967436
12/05/2022;9.2;21.7;0;3.15;1987.289329
13/05/2022;8.2;22.2;0;4.15;2664.440641
14/05/2022;9.3;24.4;0;4.45;2513.799288
15/05/2022;12.8;30.1;26.7;4.98;2166.160874
16/05/2022;15.7;25.7;0;4.46;2151.086952
17/05/2022;13.6;29.1;0.2;5.01;2507.770416
18/05/2022;14.4;28.5;0;5.06;2535.537129
19/05/2022;18.6;27;0.4;4.77;2257.228688
20/05/2022;15.4;27;0.6;3.79;1812.265744
21/05/2022;8.2;25.7;0;4.49;2691.296438
22/05/2022;12.9;25.2;1.4;3.65;1783.651233
23/05/2022;14.2;18.4;6.6;1.2;912.3077416
24/05/2022;9.9;19.4;0;3.64;2212.707714
25/05/2022;5.2;20.9;0;4.02;2534.463892
26/05/2022;12.7;22;0;3.28;1842.34507
27/05/2022;13;21.2;0;2.75;1484.948616
28/05/2022;6.6;20.7;0;4.18;2532.853245
29/05/2022;7;16.9;0;3.85;2332.319796
30/05/2022;6.7;20.2;0;4.14;2589.721657
31/05/2022;4.9;23.1;0;4.3;2424.485175
01/06/2022;4.5;23.2;0;4.46;2684.230753
02/06/2022;10.8;25.3;0;5.34;2584.490138
03/06/2022;13.6;24.6;0;2.47;1546.698898
04/06/2022;14;29.4;25;4.19;1941.347539
05/06/2022;14.7;22.9;0;3.09;1767.753601
06/06/2022;11.7;21.6;2;3.8;2196.661675
07/06/2022;13.2;22.9;6;4.02;2091.561757
08/06/2022;13.1;22.4;5;3.37;1878.784947
09/06/2022;9.7;21.7;0;3.9;2283.067275
10/06/2022;11.4;25.3;0;4.47;2593.503829
11/06/2022;10.5;27.3;0;4.93;2744.154653
12/06/2022;13;25.4;0;5.72;2762.576992
13/06/2022;6.4;24.2;0;4.93;2863.023889
14/06/2022;11.8;26.8;0;5.51;2821.132934
15/06/2022;15.1;32.2;0;6.35;2739.825771
16/06/2022;14;30.5;0;6;2726.078956
17/06/2022;12.9;35.3;0;6.01;2705.885731
18/06/2022;18.7;38.1;0;7.33;2649.302003
19/06/2022;16;28.7;13.1;5.38;2386.077835
