Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2018;2.8;9.8;1.4;0.44;662.6454832
02/02/2018;-0.4;8.6;0.2;0.27;751.1686065
03/02/2018;1.8;8.2;2.8;0.38;328.5835344
04/02/2018;0.8;6.2;0.2;0.38;306.801103
05/02/2018;-0.7;3.2;0;0.79;931.9403954
06/02/2018;-2.7;2.2;2;0.24;312.8112964
07/02/2018;-1.5;2.9;0;0.32;495.1569577
08/02/2018;-0.6;6.2;0;0.41;856.1210018
09/02/2018;-1.7;7.4;1;0.72;392.3387683
10/02/2018;-2.2;10.5;4;0.45;929.8213458
11/02/2018;5.8;11.1;1.4;0.75;714.7078563
12/02/2018;-0.9;8.5;0;0.57;1072.218338
13/02/2018;0.8;8.2;7;0.94;387.0838657
14/02/2018;1.4;11.8;11.8;0.54;329.678714
15/02/2018;7.3;13.6;0.8;0;334.4204238
16/02/2018;7.6;11.2;9.2;0.62;574.4910658
17/02/2018;6.5;10.4;1.8;0.79;736.8716849
18/02/2018;3.2;8;4;0.25;348.9686109
19/02/2018;3.9;10;2;0.29;370.4445063
20/02/2018;8.8;12.6;1.4;1.07;474.1491916
21/02/2018;2.1;7.1;0;1.11;1108.957851
22/02/2018;-1.5;6.8;0;1.11;1226.8987
23/02/2018;-2.1;5.5;0;1.12;1127.596052
24/02/2018;-2.5;7.2;0;1.09;1205.590377
25/02/2018;-1.8;6.4;0;1.69;1327.847203
26/02/2018;-3.5;2.5;0;2.25;1362.002476
27/02/2018;-6.2;0.5;0;1.62;1377.767655
28/02/2018;-7.4;0.8;0.2;1.21;641.2999092
01/03/2018;-3.5;13.5;6.4;0.42;615.0449917
02/03/2018;6;11;1.6;2.19;1242.387875
03/03/2018;5.9;14.3;3.8;1.83;1357.706603
04/03/2018;6.7;12.7;6;1.23;881.7823657
05/03/2018;4.8;12.9;0;1.15;886.6753813
06/03/2018;4;10.4;9.8;0.77;581.8944658
07/03/2018;4.3;11.7;0.2;1.53;1417.767835
08/03/2018;3.9;14.4;0;1.65;1371.978924
09/03/2018;9.5;16.6;2.6;2;780.5447144
10/03/2018;11;17;0;1.63;898.9268612
11/03/2018;9.9;15.4;2.2;2.36;1056.531158
12/03/2018;7.6;11.9;6.8;2.05;873.6967658
13/03/2018;4.9;12.7;0;1.51;1285.595725
14/03/2018;4.3;15.9;4.8;1.84;1046.369312
15/03/2018;6.7;13.1;8.8;1.28;816.0588801
16/03/2018;5.5;12.4;8.6;1.4;964.0338636
17/03/2018;4.1;10;8.8;0.95;844.2298566
18/03/2018;3;10.9;1;1.27;1202.548608
19/03/2018;-0.1;1.9;5;0.25;551.5288322
20/03/2018;0;9;0.6;2.31;1702.327871
21/03/2018;-1.1;9.4;0;2;1833.280387
22/03/2018;-0.9;9.6;0;1.66;1676.87684
23/03/2018;3.9;8.2;6.2;0.66;575.7647807
24/03/2018;5.8;12.8;0.4;1.99;1193.516492
25/03/2018;6.2;13.8;0;1.68;1006.707325
26/03/2018;5.2;13.4;2.6;1.86;1265.504535
27/03/2018;6.2;12.5;6.4;0;599.7925753
28/03/2018;8.8;12;7.4;0.96;605.7535949
29/03/2018;3.4;12.2;5.8;1.63;1284.502846
30/03/2018;4.9;12.1;6.2;2.1;1414.008202
31/03/2018;4.1;10.8;4.4;1.95;1468.347854
01/04/2018;3.1;14.2;0;1.94;1437.021771
02/04/2018;8.9;16.6;1.2;2.56;992.2444564
03/04/2018;9.4;14.5;7.4;1.9;974.316317
04/04/2018;7.3;13.3;4.4;1.46;877.4131739
05/04/2018;6.2;15.1;0;2.55;1867.002965
06/04/2018;5.3;23.4;0;3.71;2066.994678
07/04/2018;11.1;14.9;18.4;1.04;663.8916022
08/04/2018;10.2;14.3;1;0.96;669.5232586
09/04/2018;9.8;15.4;3.2;1.43;819.685065
10/04/2018;8;14.6;5.8;1.98;1320.323548
11/04/2018;8.6;15.2;0.2;2.04;1112.459715
12/04/2018;9.6;15.7;7.6;2.16;1373.124224
13/04/2018;6.8;17.8;4.6;1.9;1355.875148
14/04/2018;9.8;16.5;0.4;2.16;1411.293692
15/04/2018;7.3;16.8;0.4;2.2;1452.100028
16/04/2018;8;16.7;0.2;2.76;1895.746983
17/04/2018;5.9;23.3;0;3.58;2346.60275
18/04/2018;9.8;27.2;0;4.61;2366.126833
19/04/2018;13.4;27.2;0;4.97;2369.523079
20/04/2018;10.7;27.7;0;4.6;2354.9111
21/04/2018;14.8;27.1;0;4.74;2353.780191
22/04/2018;15;23.5;0;4.06;1932.269005
23/04/2018;10.9;19.6;0.2;3.22;1940.062401
24/04/2018;5.8;18.9;0;3.14;2255.780058
25/04/2018;7.3;16.5;0.4;2.25;1455.952574
26/04/2018;6.1;16.8;0.2;2.58;1749.521587
27/04/2018;5;16.7;0;3.06;1825.523317
28/04/2018;6.3;14.3;0.2;1.42;903.3802414
29/04/2018;8.8;14.5;0;1.18;776.6658616
30/04/2018;6.2;12.4;0;1.88;1163.259763
01/05/2018;5;15;0;3.57;2450.469414
02/05/2018;4;14.2;1.6;1.72;1173.540329
